film_title,brand,box_office_revenue,opening_revenue,release_date,opening_revenue_over_total_revenue,imdb_score,rt_critics_score,rt_audience_score
Up,Pixar,293004164.0,68108790.0,5/29/2009,23,8.3,98,90
Bolt,Disney Animated Feature,114053579.0,26223128.0,11/21/2008,23,6.8,89,74
Ratatouille,Pixar,206445654.0,47027395.0,6/29/2007,23,8.1,96,87
Moana,Disney Animated Feature,248757044.0,56631401.0,11/23/2016,23,7.6,95,89
Zootopia,Disney Animated Feature,341268248.0,75063401.0,3/4/2016,22,8.0,98,92
A Christmas Carol,Disney Animated Feature,137855863.0,30051075.0,11/6/2009,22,6.8,52,58
The Hunchback of Notre Dame,Disney Animated Feature,100138851.0,21037414.0,6/21/1996,21,7.0,71,70
Finding Nemo,Pixar,339714978.0,70251710.0,5/30/2003,21,8.2,99,86
Tarzan,Disney Animated Feature,171091819.0,34221968.0,6/16/1999,20,7.3,89,75
Elemental,Pixar,154426697.0,29602429.0,6/16/2023,19,7.0,74,93
Mulan,Disney Animated Feature,120620254.0,22745143.0,6/19/1998,19,7.7,86,85
Raya And The Last Dragon,Disney Animated Feature,54723032.0,8502498.0,3/5/2021,16,7.3,94,97
Toy Story,Pixar,191796233.0,29140617.0,11/22/1995,15,8.3,100,92
The Jungle Book (1994),Disney Live Action Remake,43229904.0,5129959.0,12/25/1994,12,6.0,80,56
The Emperor's New Groove,Disney Animated Feature,89302687.0,9812302.0,12/15/2000,11,7.4,86,84
The Little Mermaid (1989),Disney Animated Feature,111543479.0,6031914.0,11/17/1989,5,7.6,93,88
Fantasia 2000,Disney Animated Feature,60655420.0,2290525.0,1/1/2000,4,7.1,80,75
Pocahontas,Disney Animated Feature,141579773.0,2689714.0,6/16/1995,2,6.7,55,64
The Princess and the Frog,Disney Animated Feature,104400899.0,786190.0,11/25/2009,1,7.1,85,74
Atlantis: The Lost Empire,Disney Animated Feature,84056472.0,329011.0,6/8/2001,0,6.9,49,54
The Lion King,Disney Animated Feature,422783777.0,1586753.0,6/15/1994,0,8.5,94,93
Brother Bear,Disney Animated Feature,85336277.0,291940.0,10/24/2003,0,6.8,37,65
Hercules,Disney Animated Feature,99112101.0,249567.0,6/15/1997,0,7.3,84,76
A Bug's Life,Pixar,162798565.0,291121.0,11/20/1998,0,7.2,92,72
Toy Story 2,Pixar,245852179.0,300163.0,11/19/1999,0,7.9,100,87
Beauty and the Beast,Disney Animated Feature,145863363.0,162146.0,11/15/1991,0,7.3,94,92
Aladdin,Disney Animated Feature,217350219.0,196664.0,11/13/1992,0,8.0,95,92
Frozen,Disney Animated Feature,400738009.0,243390.0,11/22/2013,0,7.4,90,85
